     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   26    0   75.00  75.00    18      18          24    0 0 0 0
     2    8    0   71.43  71.43     5       5           7    0 0 0 0
     3    1    0  100.00 100.00     1       1           1    0 0 0 0
     4    6    0   66.67  66.67     4       4           6    0 0 0 0
     5    9    0   28.57  28.57     2       2           7    0 0 0 0
     6   25    0   69.57  69.57    16      16          23    0 0 0 0
     7   27    0   60.87  60.87    14      14          23    0 0 0 0
     8   14    0   84.62  84.62    11      11          13    0 0 0 0
     9   23    0   71.43  71.43    15      15          21    0 0 0 0
    10   15    0   76.92  76.92    10      10          13    0 0 0 0
    11   20    0   58.82  58.82    10      10          17    0 0 0 0
    12    2    0  100.00 100.00     2       2           2    0 0 0 0
    13    5    0  100.00 100.00     5       5           5    0 0 0 0
    14    6    0   50.00  50.00     3       3           6    0 0 0 0
    15    6    0   50.00  50.00     3       3           6    0 0 0 0
    16   17    0   93.75  93.75    15      15          16    0 0 0 0
    17   14    0   63.64  63.64     7       7          11    0 0 0 0
    18   22    0   66.67  66.67    12      12          18    0 0 0 0
    19   11    0   90.00  90.00     9       9          10    0 0 0 0
    20   16    0   84.62  84.62    11      11          13    0 0 0 0
    21   22    0   65.00  65.00    13      13          20    0 0 0 0
    22   15    0   50.00  50.00     6       6          12    0 0 0 0
    23   22    0   63.16  63.16    12      12          19    0 0 0 0
    24   17    0  100.00 100.00    14      14          14    0 0 0 0
    25   18    0   80.00  80.00    12      12          15    0 0 0 0
    26   28    0   64.00  64.00    16      16          25    0 0 0 0
    27   13    0   50.00  50.00     5       5          10    0 0 0 0
    28   18    0   71.43  71.43    10      10          14    0 0 0 0
    29   16    0   57.14  57.14     8       8          14    0 0 0 0
    30   11    0   90.00  90.00     9       9          10    0 0 0 0
    31   27    0   56.52  56.52    13      13          23    0 0 0 0
    32   11    0   66.67  66.67     6       6           9    0 0 0 0
    33   32    0   75.00  75.00    21      21          28    0 0 0 0
    34    5    0  100.00 100.00     4       4           4    0 0 0 0
    35    7    0   83.33  83.33     5       5           6    0 0 0 0
    36   14    0   58.33  58.33     7       7          12    0 0 0 0
    37   16    0   80.00  80.00    12      12          15    0 0 0 0
    38    9    0   75.00  75.00     6       6           8    0 0 0 0
    39   15    0   46.15  46.15     6       6          13    0 0 0 0
    40   26    0   76.00  76.00    19      19          25    0 0 0 0
    41    9    0   87.50  87.50     7       7           8    0 0 0 0
    42   24    0   80.95  80.95    17      17          21    0 0 0 0
    43   13    0  100.00 100.00    11      11          11    0 0 0 0
    44   15    0   84.62  84.62    11      11          13    0 0 0 0
    45   32    0   71.43  71.43    20      20          28    0 0 0 0
    46   12    0   81.82  81.82     9       9          11    0 0 0 0
    47    6    0  100.00 100.00     5       5           5    0 0 0 0
    48    3    0   33.33  33.33     1       1           3    0 0 0 0
    49   10    0   77.78  77.78     7       7           9    0 0 0 0
    50    9    0   87.50  87.50     7       7           8    0 0 0 0
    51   21    0   68.75  68.75    11      11          16    0 0 0 0
    52   27    0   69.57  69.57    16      16          23    0 0 0 0
    53   19    0   58.82  58.82    10      10          17    0 0 0 0
    54   11    0   66.67  66.67     6       6           9    0 0 0 0
    55   16    0   60.00  60.00     9       9          15    0 0 0 0
    56   26    0   56.52  56.52    13      13          23    0 0 0 0
    57   13    0   91.67  91.67    11      11          12    0 0 0 0
    58   15    0   53.85  53.85     7       7          13    0 0 0 0
    59   14    0   61.54  61.54     8       8          13    0 0 0 0
    60   13    0   83.33  83.33    10      10          12    0 0 0 0
    61   11    0   88.89  88.89     8       8           9    0 0 0 0
    62   18    0   62.50  62.50    10      10          16    0 0 0 0
    63    1    0  100.00 100.00     1       1           1    0 0 0 0
    64   13    0   60.00  60.00     6       6          10    0 0 0 0
    65    8    0   87.50  87.50     7       7           8    0 0 0 0
    66   10    0   40.00  40.00     4       4          10    0 0 0 0
    67   12    0  100.00 100.00    11      11          11    0 0 0 0
    68   31    0   79.31  79.31    23      23          29    0 0 0 0
    69   21    0   65.00  65.00    13      13          20    0 0 0 0
    70   17    0   80.00  80.00    12      12          15    0 0 0 0
    71   27    0   58.33  58.33    14      14          24    0 0 0 0
    72   19    0   50.00  50.00     9       9          18    0 0 0 0
    73   39    0   58.33  58.33    21      21          36    0 0 0 0
    74   17    0   50.00  50.00     8       8          16    0 0 0 0
    75   10    0   55.56  55.56     5       5           9    0 0 0 0
    76   22    0   80.00  80.00    16      16          20    0 0 0 0
    77   24    0   76.19  76.19    16      16          21    0 0 0 0
    78   30    0   61.54  61.54    16      16          26    0 0 0 0
    79   33    0   54.84  54.84    17      17          31    0 0 0 0
    80   29    0   61.54  61.54    16      16          26    0 0 0 0
    81   28    0   48.00  48.00    12      12          25    0 0 0 0
    82    8    0   85.71  85.71     6       6           7    0 0 0 0
    83   13    0   83.33  83.33    10      10          12    0 0 0 0
    84   15    0   46.15  46.15     6       6          13    0 0 0 0
    85   38    0   59.38  59.38    19      19          32    0 0 0 0
    86    9    0   62.50  62.50     5       5           8    0 0 0 0
    87   38    0   73.53  73.53    25      25          34    0 0 0 0
    88   30    0   60.00  60.00    15      15          25    0 0 0 0
    89    4    0   50.00  50.00     2       2           4    0 0 0 0
    90   15    0   61.54  61.54     8       8          13    0 0 0 0
    91    6    0  100.00 100.00     5       5           5    0 0 0 0
    92   31    0   50.00  50.00    14      14          28    0 0 0 0
    93   18    0   68.75  68.75    11      11          16    0 0 0 0
    94   11    0   80.00  80.00     8       8          10    0 0 0 0
    95   11    0   66.67  66.67     6       6           9    0 0 0 0
    96   31    0   57.14  57.14    16      16          28    0 0 0 0
    97   27    0   68.18  68.18    15      15          22    0 0 0 0
    98   26    0   54.17  54.17    13      13          24    0 0 0 0
    99   13    0   83.33  83.33    10      10          12    0 0 0 0
   100   30    0   65.38  65.38    17      17          26    0 0 0 0
   101   27    0   73.91  73.91    17      17          23    0 0 0 0
   102    1    0  100.00 100.00     1       1           1    0 0 0 0
   103    1    0  100.00 100.00     1       1           1    0 0 0 0
   104    4    0  100.00 100.00     4       4           4    0 0 0 0
   105   10    0   28.57  28.57     2       2           7    0 0 0 0
   106   20    0   94.44  94.44    17      17          18    0 0 0 0
   107   31    0   67.86  67.86    19      19          28    0 0 0 0
   108   30    0   66.67  66.67    18      18          27    0 0 0 0
   109   10    0   88.89  88.89     8       8           9    0 0 0 0
   110    1    0  100.00 100.00     1       1           1    0 0 0 0
   111    2    0    0.00   0.00     0       0           2    0 0 0 0
   112    5    0   50.00  50.00     2       2           4    0 0 0 0
   113   22    0   75.00  75.00    15      15          20    0 0 0 0
   114   15    0   75.00  75.00     9       9          12    0 0 0 0
   115    5    0  100.00 100.00     5       5           5    0 0 0 0
   116    5    0   50.00  50.00     2       2           4    0 0 0 0
   117   33    0   50.00  50.00    16      16          32    0 0 0 0
   118    4    0  100.00 100.00     4       4           4    0 0 0 0
   119    7    0   20.00  20.00     1       1           5    0 0 0 0
   120   14    0   53.85  53.85     7       7          13    0 0 0 0
   121   16    0   64.29  64.29     9       9          14    0 0 0 0
   122    2    0    0.00   0.00     0       0           2    0 0 0 0
   123    5    0   50.00  50.00     2       2           4    0 0 0 0
   124   18    0   76.47  76.47    13      13          17    0 0 0 0
   125   14    0   84.62  84.62    11      11          13    0 0 0 0
   126    3    0  100.00 100.00     3       3           3    0 0 0 0
   127    5    0   50.00  50.00     2       2           4    0 0 0 0
   128   26    0   56.00  56.00    14      14          25    0 0 0 0
   129   14    0   92.31  92.31    12      12          13    0 0 0 0
   130    3    0  100.00 100.00     3       3           3    0 0 0 0
   131    5    0   50.00  50.00     2       2           4    0 0 0 0
   132   19    0   83.33  83.33    15      15          18    0 0 0 0
   133   13    0   41.67  41.67     5       5          12    0 0 0 0
   134    4    0  100.00 100.00     4       4           4    0 0 0 0
   135    5    0   50.00  50.00     2       2           4    0 0 0 0
   136   19    0   82.35  82.35    14      14          17    0 0 0 0
   137   10    0   88.89  88.89     8       8           9    0 0 0 0
   138    1    0  100.00 100.00     1       1           1    0 0 0 0
   139    5    0   40.00  40.00     2       2           5    0 0 0 0
   140   12    0   25.00  25.00     2       2           8    0 0 0 0
   141   24    0   65.22  65.22    15      15          23    0 0 0 0
   142   30    0   64.29  64.29    18      18          28    0 0 0 0
   143   18    0   60.00  60.00     9       9          15    0 0 0 0
   144   38    0   61.76  61.76    21      21          34    0 0 0 0
   145   18    0   60.00  60.00     9       9          15    0 0 0 0
   146   20    0   68.42  68.42    13      13          19    0 0 0 0
   147   10    0   87.50  87.50     7       7           8    0 0 0 0
   148   10    0  100.00 100.00     9       9           9    0 0 0 0
   149   27    0   65.22  65.22    15      15          23    0 0 0 0
   150   12    0   80.00  80.00     8       8          10    0 0 0 0
   151   16    0   78.57  78.57    11      11          14    0 0 0 0
   152    4    0   25.00  25.00     1       1           4    0 0 0 0
   153    1    0  100.00 100.00     1       1           1    0 0 0 0
   154    1    0  100.00 100.00     1       1           1    0 0 0 0
   155   11    0   88.89  88.89     8       8           9    0 0 0 0
   156   50    0   65.91  65.91    29      29          44    0 0 0 0
   157   18    0   93.75  93.75    15      15          16    0 0 0 0
   158   28    0   50.00  50.00    12      12          24    0 0 0 0
   159   35    0   73.33  73.33    22      22          30    0 0 0 0
   160   18    0   68.75  68.75    11      11          16    0 0 0 0
   161   34    0   60.71  60.71    17      17          28    0 0 0 0
   162   38    0   54.55  54.55    18      18          33    0 0 0 0
   163   19    0   56.25  56.25     9       9          16    0 0 0 0
   164   17    0   21.43  21.43     3       3          14    0 0 0 0
   165   17    0   78.57  78.57    11      11          14    0 0 0 0
   166   12    0   88.89  88.89     8       8           9    0 0 0 0
   167   26    0   73.91  73.91    17      17          23    0 0 0 0
   168   24    0   25.00  25.00     5       5          20    0 0 0 0
   169    8    0   71.43  71.43     5       5           7    0 0 0 0
   170   20    0   52.94  52.94     9       9          17    0 0 0 0
   171   11    0   66.67  66.67     6       6           9    0 0 0 0
   172   14    0   61.54  61.54     8       8          13    0 0 0 0
   173    2    0    0.00   0.00     0       0           2    0 0 0 0
   174    2    0  100.00 100.00     2       2           2    0 0 0 0
   175    8    0   42.86  42.86     3       3           7    0 0 0 0
   176    3    0   33.33  33.33     1       1           3    0 0 0 0
   177    2    0  100.00 100.00     1       1           1    0 0 0 0
   178    9    0   62.50  62.50     5       5           8    0 0 0 0
   179   10    0   66.67  66.67     6       6           9    0 0 0 0
   180   17    0   57.14  57.14     8       8          14    0 0 0 0
   181   14    0   83.33  83.33    10      10          12    0 0 0 0
   182   24    0   47.83  47.83    11      11          23    0 0 0 0
   183   33    0   66.67  66.67    16      16          24    0 0 0 0
   184   34    0   53.33  53.33    16      16          30    0 0 0 0
   185    9    0   71.43  71.43     5       5           7    0 0 0 0
   186   33    0   69.23  69.23    18      18          26    0 0 0 0
   187    9    0  100.00 100.00     8       8           8    0 0 0 0
   188   14    0   61.54  61.54     8       8          13    0 0 0 0
   189   47    0   65.85  65.85    27      27          41    0 0 0 0
   190   20    0   66.67  66.67    12      12          18    0 0 0 0
   191    9    0   62.50  62.50     5       5           8    0 0 0 0
   192   46    0   54.76  54.76    23      23          42    0 0 0 0
   193   21    0   68.42  68.42    13      13          19    0 0 0 0
   194   19    0   64.71  64.71    11      11          17    0 0 0 0
   195   14    0   53.85  53.85     7       7          13    0 0 0 0
   196   36    0   59.38  59.38    19      19          32    0 0 0 0
   197   26    0   66.67  66.67    16      16          24    0 0 0 0
   198   19    0   88.24  88.24    15      15          17    0 0 0 0
   199    8    0  100.00 100.00     7       7           7    0 0 0 0
   200   28    0   76.92  76.92    20      20          26    0 0 0 0
   201    6    0   80.00  80.00     4       4           5    0 0 0 0
   202   24    0   56.25  56.25     9       9          16    0 0 0 0
   203    5    0   60.00  60.00     3       3           5    0 0 0 0
   204   12    0   81.82  81.82     9       9          11    0 0 0 0
   205    2    0  100.00 100.00     2       2           2    0 0 0 0
   206    3    0   33.33  33.33     1       1           3    0 0 0 0
   207   24    0   61.90  61.90    13      13          21    0 0 0 0
   208    7    0  100.00 100.00     5       5           5    0 0 0 0
   209   19    0   70.59  70.59    12      12          17    0 0 0 0
   210   17    0   57.14  57.14     8       8          14    0 0 0 0
   211   25    0   83.33  83.33    20      20          24    0 0 0 0
   212   50    0   58.70  58.70    27      27          46    0 0 0 0
   213   29    0   88.00  88.00    22      22          25    0 0 0 0
   214   34    0   73.33  73.33    22      22          30    0 0 0 0
   215   23    0   52.63  52.63    10      10          19    0 0 0 0
   216   24    0   66.67  66.67    14      14          21    0 0 0 0
   217   16    0   46.67  46.67     7       7          15    0 0 0 0
   218   26    0   79.17  79.17    19      19          24    0 0 0 0
   219    9    0   87.50  87.50     7       7           8    0 0 0 0
   220   28    0   47.83  47.83    11      11          23    0 0 0 0
   221   14    0   76.92  76.92    10      10          13    0 0 0 0
   222   11    0   70.00  70.00     7       7          10    0 0 0 0
   223    9    0   75.00  75.00     6       6           8    0 0 0 0
   224    9    0   83.33  83.33     5       5           6    0 0 0 0
   225    5    0  100.00 100.00     4       4           4    0 0 0 0
   226   28    0   80.77  80.77    21      21          26    0 0 0 0
   227   24    0   72.73  72.73    16      16          22    0 0 0 0
   228   19    0   94.44  94.44    17      17          18    0 0 0 0
   229   15    0   61.54  61.54     8       8          13    0 0 0 0
   230   15    0   71.43  71.43    10      10          14    0 0 0 0
   231   28    0   61.54  61.54    16      16          26    0 0 0 0
   232   19    0   73.33  73.33    11      11          15    0 0 0 0
   233   19    0   82.35  82.35    14      14          17    0 0 0 0
   234   29    0   56.00  56.00    14      14          25    0 0 0 0
   235   31    0   48.15  48.15    13      13          27    0 0 0 0
   236   25    0   47.62  47.62    10      10          21    0 0 0 0
   237   20    0   83.33  83.33    15      15          18    0 0 0 0
   238    9    0   85.71  85.71     6       6           7    0 0 0 0
   239   12    0   63.64  63.64     7       7          11    0 0 0 0
   240   39    0   45.45  45.45    15      15          33    0 0 0 0
   241   37    0   66.67  66.67    22      22          33    0 0 0 0
   242   26    0   38.10  38.10     8       8          21    0 0 0 0
   243   16    0   64.29  64.29     9       9          14    0 0 0 0
   244   10    0   88.89  88.89     8       8           9    0 0 0 0
   245   16    0   66.67  66.67    10      10          15    0 0 0 0
   246   14    0   61.54  61.54     8       8          13    0 0 0 0
   247   30    0   55.56  55.56    15      15          27    0 0 0 0
   248   20    0   62.50  62.50    10      10          16    0 0 0 0
   249   30    0   61.54  61.54    16      16          26    0 0 0 0
   250   39    0   73.53  73.53    25      25          34    0 0 0 0
   251   58    0   52.00  52.00    26      26          50    0 0 0 0
   252   33    0   92.59  92.59    25      25          27    0 0 0 0
   253   26    0   58.33  58.33    14      14          24    0 0 0 0
   254   14    0   76.92  76.92    10      10          13    0 0 0 0
   255   27    0   68.00  68.00    17      17          25    0 0 0 0
   256   11    0   90.00  90.00     9       9          10    0 0 0 0
   257   17    0   76.92  76.92    10      10          13    0 0 0 0
   258   18    0   62.50  62.50    10      10          16    0 0 0 0
   259   11    0   60.00  60.00     6       6          10    0 0 0 0
   260   26    0   69.57  69.57    16      16          23    0 0 0 0
   261   32    0   70.37  70.37    19      19          27    0 0 0 0
   262   23    0   52.63  52.63    10      10          19    0 0 0 0
   263   31    0   75.00  75.00    21      21          28    0 0 0 0
   264   37    0   63.64  63.64    21      21          33    0 0 0 0
   265   12    0   72.73  72.73     8       8          11    0 0 0 0
   266    1    0  100.00 100.00     1       1           1    0 0 0 0
   267    1    0  100.00 100.00     1       1           1    0 0 0 0
   268    2    0    0.00   0.00     0       0           2    0 0 0 0
   269   16    0   71.43  71.43    10      10          14    0 0 0 0
   270   24    0   71.43  71.43    15      15          21    0 0 0 0
   271   11    0   80.00  80.00     8       8          10    0 0 0 0
   272   15    0   83.33  83.33    10      10          12    0 0 0 0
   273   53    0   62.50  62.50    30      30          48    0 0 0 0
   274   20    0   43.75  43.75     7       7          16    0 0 0 0
   275   27    0   62.50  62.50    15      15          24    0 0 0 0
   276    7    0   83.33  83.33     5       5           6    0 0 0 0
   277   36    0   48.39  48.39    15      15          31    0 0 0 0
   278   15    0   69.23  69.23     9       9          13    0 0 0 0
   279   17    0   69.23  69.23     9       9          13    0 0 0 0
   280   26    0   58.33  58.33    14      14          24    0 0 0 0
   281   11    0   80.00  80.00     8       8          10    0 0 0 0
   282    1    0  100.00 100.00     1       1           1    0 0 0 0
   283    4    0   75.00  75.00     3       3           4    0 0 0 0
   284    6    0  100.00 100.00     5       5           5    0 0 0 0
   285   25    0   60.87  60.87    14      14          23    0 0 0 0
   286   19    0   61.11  61.11    11      11          18    0 0 0 0
   287   12    0   81.82  81.82     9       9          11    0 0 0 0
   288    1    0  100.00 100.00     1       1           1    0 0 0 0
   289    4    0   75.00  75.00     3       3           4    0 0 0 0
   290    9    0   75.00  75.00     6       6           8    0 0 0 0
   291   27    0   68.00  68.00    17      17          25    0 0 0 0
   292   29    0   62.50  62.50    15      15          24    0 0 0 0
   293   40    0   57.14  57.14    20      20          35    0 0 0 0
   294   36    0   65.62  65.62    21      21          32    0 0 0 0
   295   14    0   66.67  66.67     8       8          12    0 0 0 0
   296   27    0   37.50  37.50     9       9          24    0 0 0 0
   297   29    0   61.54  61.54    16      16          26    0 0 0 0
   298   12    0   72.73  72.73     8       8          11    0 0 0 0
   299   29    0   84.00  84.00    21      21          25    0 0 0 0
   300    1    0  100.00 100.00     1       1           1    0 0 0 0
   301    3    0    0.00   0.00     0       0           3    0 0 0 0
   302   34    0   68.75  68.75    22      22          32    0 0 0 0
   303   10    0   77.78  77.78     7       7           9    0 0 0 0
   304   20    0   64.71  64.71    11      11          17    0 0 0 0
   305   20    0   61.11  61.11    11      11          18    0 0 0 0
   306   25    0   58.33  58.33    14      14          24    0 0 0 0
   307    3    0    0.00   0.00     0       0           2    0 0 0 0
   308   32    0   65.38  65.38    17      17          26    0 0 0 0
